id,split,question,model_response,rating,explanation,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
10,TEST,When was the permanent cure for cancer developed?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Treatment_of_cancer#:~:text=Because%20%22cancer%22%20refers%20to%20a%20class%20of%20diseases%2C%5B3%5D%5B4%5D%20it%20is%20unlikely%20that%20there%20will%20ever%20be%20a%20single%20%22cure%20for%20cancer%22%20any%20more%20than%20there%20will%20be%20a%20single%20treatment%20for%20all%20infectious%20diseases.,There is currently no permanent cure for cancer.,,,,,,,,,,
11,TEST,When was Dartmouth Law School founded?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Dartmouth_College#:~:text=In%20addition%20to%20the%20undergraduate%20faculty%20of%20arts%20and%20sciences%2C%20Dartmouth%20has%20four%20professional%20and%20graduate%20schools%3A%20the%20Geisel%20School%20of%20Medicine%2C%20the%20Thayer%20School%20of%20Engineering%2C%20the%20Tuck%20School%20of%20Business%2C%20and%20the%20Guarini%20School%20of%20Graduate%20and%20Advanced%20Studies.,Dartmouth College does not have a graduate school for law.,,,,,,,,,,
12,TEST,When was League of Legends 2 released?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/League_of_Legends#:~:text=macOS-,Release,March%201%2C%202013,-Genre(s)",There has not been a sequel to League of Legends. ,,,,,,,,,,
13,TEST,In what year did Hikaru Nakamura become the World Chess Champion?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Hikaru_Nakamura#:~:text=five%2Dtime%20U.S.%20Chess%20Champion%2C%20and%20the%20reigning%20World%20Fischer%20Random%20Chess%20Champion,Hikaru Nakamura has not won the World Chess Championship. He only won the US Chess Championship.,,,,,,,,,,
14,TEST,When did American Express open its 20th Centurion Lounge?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.thecenturionlounge.com/#:~:text=TERMS%20%26%20CONDITIONS-,The%20Centurion%C2%AE%20Network,-The%20Centurion%C2%AE%20Network","To date, American Express hasn't opened its 20th Centurion Lounges.",,,,,,,,,,
15,TEST,In what year was the Element 120 first synthesized?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Periodic_table#:~:text=Today%2C%20118%20elements%20are%20known,"To date, the highest atomic number element to be discovered or synthesized is with atomic number 118 (oganesson).",,,,,,,,,,
16,TEST,When did Jamie Oliver earn his first Michelin Star?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://culinarylore.com/food-culture:does-jamie-oliver-have-any-michelin-stars/#:~:text=While%20the%20Michelin%20Guide%2C%20however%2C%20doesn%E2%80%99t%20report%20on%20restaurants%20that%20don%E2%80%99t%20earn%20stars%2C%20not%20one%20of%20Jamie%20Oliver%E2%80%99s%20restaurants%20has%20ever%20earned%20one.
https://en.wikipedia.org/wiki/Jamie_Oliver#Awards_and_honours",Jamie Oliver's restaurants have never earned a Michelin Star.,,,,,,,,,,
17,TEST,When did the UK adopt the Euro?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/United_Kingdom_and_the_euro#:~:text=The%20United%20Kingdom%20did%20not%20seek%20to%20adopt%20the%20euro%20as%20its%20official%20currency%20for%20the%20duration%20of%20its%20membership%20of%20the%20European%20Union%20(EU),The United Kingdom has never adopted the Euro.,,,,,,,,,,
18,TEST,When was the second time that President Joe Biden visited Vietnam during his presidency?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_international_presidential_trips_made_by_Joe_Biden#:~:text=Vatican%20City%2C-,Vietnam,-and%20the%20West",President Joe Biden has not visited Vietnam for the second time during his presidency.,,,,,,,,,,
19,TEST,How much did Elon Musk buy Activision Blizzard for?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Activision_Blizzard#:~:text=Microsoft%20announced%20its%20intent%20to%20acquire%20Activision%20Blizzard%20for%20%2468.7%20billion%20on%20January%2018%2C%202022.,"Elon Musk has not purchased Activision Blizzard. Microsoft announced its intent to acquire Activision Blizzard for $68.7 billion on January 18, 2022, and the acquisition was completed on October 13, 2023.",,,,,,,,,,
20,TEST,When was COVID-19 declared endemic by the World Health Organization?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Endemic_COVID-19#:~:text=COVID%2D19%20endemicity%20is%20distinct%20from%20the%20COVID%2D19%20public%20health%20emergency%20of%20international%20concern%2C%20which%20was%20ended%20by%20the%20World%20Health%20Organization%20on%20May%205%2C%202023.,The World Health Organization has not declared COVID-19 as endemic.,,,,,,,,,,
21,TEST,In what three consecutive years did Drake top Spotify's list of most-streamed artists?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_most-streamed_artists_on_Spotify#:~:text=Since%202012%2C%20Spotify%20has%20published%20a%20yearly%20list%20of%20its%20most%2Dstreamed%20artists%2C%20which%20has%20been%20topped%20by%20Drake%20and%20Puerto%20Rican%20rapper%20Bad%20Bunny%20a%20record%20three%20times%2C%20with%20Bad%20Bunny%20being%20the%20only%20artist%20to%20do%20so%20in%20consecutive%20years%20(2020%E2%80%932022).,Drake has never topped Spotify's list of most-streamed artists for three consecutive years. Bad Bunny is the only artist to have accomplished this feat.,,,,,,,,,,
22,TEST,When did Tesla Model Z come out?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Tesla,_Inc.#Automotive_products:~:text=Model%20SModel%20XModel%203Model%20YSemiCybertruckPowerwallMegapackSolar%20PanelsSolar%20Roof",Tesla has never released a Tesla Model Z.,,,,,,,,,,
23,TEST,Which vaccine completely eradicated COVID-19 worldwide?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/COVID-19_pandemic#Vaccines,No vaccine has eradicated COVID-19 worldwide.,,,,,,,,,,
24,TEST,How much did Elon Musk acquire Instagram for?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Instagram#:~:text=In%20April%202012%2C%20Facebook%20Inc.%20acquired%20the%20service%20for%20approximately%20US%241%C2%A0billion%20in%20cash%20and%20stock.
https://www.hitc.com/en-gb/2022/05/02/did-elon-musk-buy-instagram/#:~:text=No%2C%20Elon%20Musk%20hasn%E2%80%99t%20bought%20Instagram",Elon Musk hasn't bought Instagram.,,,,,,,,,,
25,TEST,How much did Mark Zuckerberg acquire Twitter for?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://techcrunch.com/2013/11/04/the-three-reasons-twitter-didnt-sell-to-facebook/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAM0aRf2HcCi_0PLWKaDrCVd0rIGdVQuofpNZAg22-pdHbi8qrzzOanZNjBCsgAejsYApHBr1s9jnMM3AGuH8B71SIdNhPH__hSw1Xl3yESbvwbozQboovYT9JWgV581j5PPVLEYsrTGtSmFj908RzsE2cZ27_xLH2O640CzRT_WG#:~:text=the%20sale%20didn%E2%80%99t%20happen,Mark Zuckerberg has not acquired Twitter. Twitter rejected Mark Zuckerberg's offer in the past.,,,,,,,,,,
26,TEST,What movie did Clint Eastwood win a Best Actor Academy Award for?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Clint_Eastwood#Academy_Awards,He has not won any Oscars for acting.,,,,,,,,,,
27,TEST,When did Willie Nelson pass away?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Willie_Nelson#:~:text=William%20Nelson.-,Willie%20Nelson,-Nelson%20in%202007",Willie Nelson is still alive.,,,,,,,,,,
28,TEST,How many times has Jeremy Corbyn served as Prime Minister of the UK?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom#Prime_ministers,Corbyn has never served as Prime Minister of the UK.,,,,,,,,,,
29,TEST,By how many seats do Republicans currently control the United States Senate?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/United_States_Senate#:~:text=Majority%20(51),Independent%20(3)",Republicans currently do not control the US Senate.,"In the 118th United States Congress, Democrats have majority control of the Senate.",,,,,,,,,
30,TEST,What year did Chris Paul win his second NBA championship?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.wsn.com/nba/chris-paul-championship-rings/#:~:text=Chris%20Paul%20owns%20zero%20NBA%20Championship%20rings.
https://en.wikipedia.org/wiki/Chris_Paul#:~:text=Career%20highlights%20and%20awards",Chris Paul has never won an NBA championship.,,,,,,,,,,
31,TEST,When did King Charles strip Prince Harry's title as the Duke of Sussex?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.stuff.co.nz/life-style/royals/300947898/why-king-charles-will-never-strip-prince-harry-and-meghan-of-their-main-royal-titles?cx_testId=3&cx_testVariant=cx_1&cx_artPos=1#cxrecs_s:~:text=Prince%20Harry%20and%20Meghan%20were%20allowed%20to%20keep%20their%20Duke%20and%20Duchess%20of%20Sussex%20titles.
https://en.wikipedia.org/wiki/Prince_Harry,_Duke_of_Sussex#:~:text=External%20links-,Prince%20Harry%2C%20Duke%20of%20Sussex,-80%20languages",It has not been legally stripped.,,,,,,,,,,
32,TEST,When did Yann LeCun join Google?,,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Yann_LeCun#:~:text=Institutions,Meta",Yann has never ever joined Google.,,,,,,,,,,
33,TEST,In what month of 2023 was the PlayStation 6 (PS6) released worldwide?,,,,before 2022,N/A,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/PlayStation#Home_consoles,The PlayStation 6 (PS6) has not yet been released.,,,,,,,,,,
34,TEST,When did the population of United States reach 8 billion?,,,,before 2022,hardly_ever,TRUE,one-hop,slow-changing,"https://www.worldometers.info/world-population/us-population/#:~:text=United%20States-,United%20States%20Population,-(LIVE)",The population of United States has not yet reached 8 billion.,,,,,,,,,,
35,TEST,What was the first year in which Harry Maguire won the Ballon d'Or?,,,,before 2022,hardly_ever,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Ballon_d'Or#Wins_by_player,Harry Maguire has never won the Ballon d'Or.,,,,,,,,,,
36,TEST,In what year did Papa John's go out of business?,,,,before 2022,hardly_ever,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Papa_John%27s#:~:text=the%20free%20encyclopedia-,Papa%20John%27s%20International%2C%20Inc.,-Headquarters%20in%20Cumberland",Papa John's is currently still an active business.,,,,,,,,,,
37,TEST,How many executive orders has Hillary Clinton enacted?,,,,before 2022,11/05/2024,TRUE,one-hop,slow-changing,https://www.presidency.ucsb.edu/statistics/data/executive-orders,Hillary Clinton has never been President of the United States and thus has never been able to file an executive order.,,,,,,,,,,
38,TEST,Who was the first female president of the United States?,,,,before 2022,11/05/2024,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_female_United_States_presidential_and_vice_presidential_candidates#:~:text=The%20following%20is%20a%20list%20of%20female%20U.S.%20presidential%20and%20vice%20presidential%20nominees%20and%20invitees.,There has never been a female president of the United States.,,,,,,,,,,
39,TEST,What year did the film Metropolis enter the public domain in Germany?,,,,before 2022,2047,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Metropolis_(1927_film)#:~:text=Under%20current%20EU%20copyright%20law%2C%20the%20film%20will%20remain%20under%20copyright%20in%20Germany%20and%20the%20rest%20of%20the%20European%20Union%20until%20the%20end%20of%202046%2C%2070%20years%20after%20Fritz%20Lang%27s%20death.,"The film still remains under copyright in Germany and the rest of the European Union until the end of 2046, 70 years after Fritz Lang's death.",,,,,,,,,,
40,TEST,In what year did Argentina win their fifth FIFA World Cup title?,,,,before 2022,2026,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Argentina_at_the_FIFA_World_Cup#:~:text=Argentina%20is%20one%20of%20the%20most%20successful%20teams%20in%20the%20tournament%27s%20history%2C%20having%20won%20three%20World%20Cups%3A%20in%201978%2C%201986%2C%20and%202022.,Argentina has not won their fifth FIFA World Cup title.,Argentina has won only three FIFA World Cups.,,,,,,,,,
41,TEST,When did Lionel Messi win his second FIFA World Cup?,,,,before 2022,2026,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Lionel_Messi#:~:text=With%20his%20country%2C%20he%20won%20the%202021%20Copa%20Am%C3%A9rica%20and%20the%202022%20FIFA%20World%20Cup.,Messi has not won his second FIFA World Cup.,Messi has won only one FIFA World Cup.,,,,,,,,,
42,TEST,Who is the 9th American to win the Miss World crown?,,,,before 2022,2024,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/United_States_representatives_at_Miss_World#:~:text=The%20United%20States%20has%20won%20the%20Miss%20World%20crown%20three%20times%20in%201973%2C%201990%20and%202010.,The United States hasn't won the Miss World crown for the 9th time.,The United States has won the Miss World crown only three times.,,,,,,,,,
43,TEST,When was the seventh book of the Percy Jackson & the Olympians series released?,,,,before 2022,2024,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Percy_Jackson_%26_the_Olympians#:~:text=The%20Lightning%20Thief,Gods%20(2023)",The seventh book of the Percy Jackson & the Olympians series has not been released.,There are only six books in the Percy Jackson & the Olympians series.,,,,,,,,,
44,TEST,How long has Elon Musk been X Corp.'s CEO?,,,,2023,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/X_Corp.#:~:text=Linda%20Yaccarino%20(CEO),Elon Musk is no longer X Corp.'s CEO.,"The current CEO of X Corp. is Linda Yaccarino, not Elon Musk.",,,,,,,,,
45,TEST,Where will the FIFA World Cup be hosted next year?,,,,2022,2025,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/FIFA_World_Cup#:~:text=Tournaments,202620302034",There won't be a FIFA World Cup next year.,The next FIFA World Cup will be held in 2026 rather than next year.,,,,,,,,,
46,TEST,What two federal crimes has the current President of the United States been convicted of?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Joe_Biden#:~:text=Biden%20(disambiguation).-,Joe%20Biden,-Official%20portrait%2C%202021",The current President of the United States (Joe Biden) hasn't been convicted of any federal crimes.,,,,,,,,,,
47,TEST,How many years has Edward Snowden been living in Cuba?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/Edward_Snowden#:~:text=in%20exile%20in%20Russia%20since%20May%2020%2C%202013,Edward Snowden has not been living in Cuba.,Edward Snowden has been living in Russia since 2013.,,,,,,,,,
48,TEST,How long has Kenya used a two-party system of government?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_political_parties_in_Kenya#:~:text=However%2C%20it%20has%20been%20a%20multi%2Dparty%20system%20since%201992%20and%20one%20of%20the%20ruling%20coalitions%20consists%20of%20several%20parties.,Kenya currently does not use a two-party political system.,Kenya uses a multi-party political system.,,,,,,,,,
49,TEST,Which cryptocurrency has a higher market cap than Bitcoin?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,https://coinmarketcap.com/,No cryptocurrencies currently have a higher market cap than Bitcoin.,,,,,,,,,,
50,TEST,How long has Taylor Swift been a UNICEF Goodwill Ambassador?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_UNICEF_Goodwill_Ambassadors,Taylor Swift has never been appointed as a UNICEF Goodwill Ambassador.,,,,,,,,,,
51,TEST,How long ago did Covid-19 first break 1 billion infections?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,"https://covid19.who.int/#:~:text=772%2C052%2C752-,confirmed%20cases,-Jan%2012020",Covid-19 has never broken 1 billion infections.,,,,,,,,,,
52,TEST,How long has Elon Musk been married to his current spouse?,,,,before 2022,occasionally,TRUE,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Elon_Musk#:~:text=Spouses,div.%C2%A02016)",Elon Musk is not currently married. He was married to his last spouse from 2013 to 2016.,,,,,,,,,,
53,TEST,How long has Puerto Rico been an independent country?,,,,before 2022,hardly_ever,TRUE,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Puerto_Rico#:~:text=Caribbean%20island%20and-,unincorporated%20territory%20of%20the%20United%20States,-with%20official%20Commonwealth",Puerto Rico has been a U.S. territory.,,,,,,,,,,
54,TEST,What is the current age of the first Brazilian president to be elected to a fourth term?,,,,before 2022,10/04/2026,TRUE,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva#:~:text=He%20became%20the%20first%20Brazilian%20president%20to%20have%20been%20elected%20to%20a%20third%20term
https://en.wikipedia.org/wiki/President_of_Brazil#Office-holders",No Brazilian president has been elected to a fourth term yet.,,,,,,,,,,
55,TEST,When did the biggest city in the United States host the Olympics Games?,,,,before 2022,2030,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/List_of_Olympic_Games_host_cities#Host_cities_for_Summer_and_Winter_Olympic_Games,"The biggest city in the United States, New York City, has never hosted the Olympics Games.",,,,,,,,,,
56,TEST,Who are the six living former New Zealand prime ministers?,,,,2023,occasionally,TRUE,multi-hop,slow-changing,https://simple.wikipedia.org/wiki/Prime_Minister_of_New_Zealand#:~:text=Living%20former%20prime%20ministers%20of%20New%20Zealand,"There are eight living former New Zealand prime ministers (Geoffrey Palmer, Jim Bolger, Dame Jenny Shipley, Helen Clark, Sir John Key, Bill English, Jacinda Ardern, and Chris Hipkins).",,,,,,,,,,
57,TEST,How many years has the current Protestant majority in Northern Ireland lasted?,,,,2022,occasionally,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/Demography_of_Northern_Ireland#:~:text=In%202021%2C%20the%20recorded%20number%20of%20Catholics%20by%20background%20(45.7%25)%20overtook%20the%20Protestant%20and%20other%20Christian%20by%20background%20share%20(43.48%25)%2C%20becoming%20the%20plurality%2C%20with%20no%20group%20in%20the%20overall%20majority.,Catholics now outnumber Protestants in Northern Ireland.,,,,,,,,,,
58,TEST,By how many votes did the incumbent President defeat his challenger in the latest Brazilian election?,,,,2022,10/04/2026,TRUE,multi-hop,slow-changing,https://en.wikipedia.org/wiki/2022_Brazilian_general_election#:~:text=Luiz%20In%C3%A1cio%20Lula%20da%20Silva%20received%20the%20majority%20of%20the%20votes%20in%20the%20second%20round%20and%20became%20president%2Delect%20of%20Brazil.,"The challenger, Lula da Silva, actually won.",,,,,,,,,,
59,TEST,When did President Joe Biden announce his second presidential campaign this year?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Joe_Biden_2024_presidential_campaign#:~:text=He%20made%20a%20second%20attempt%20during%20the%202008%20Democratic%20Party%20presidential%20primaries%2C%20where%20he%20focused%20on%20his%20plan%20to%20achieve%20political%20success%20in%20the%20Iraq%20War%20through%20a%20system%20of%20federalization.,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,,,,,,,,,,
60,TEST,Who won the FIFA Ballon d'Or last year?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_Ballon_d%27Or#:~:text=The%20final%20FIFA%20Ballon%20d%27Or%20was%20presented%20to%20Messi%20in%202015.%20Its%20awarding%20bodies%20subsequently%20ended%20their%20partnership,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,,,,,,,,,,
61,TEST,Will there be 29 days in February in the leap year of 2500?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://www.calendar.best/leap-years.html#:~:text=We%20have%20shown%20in%20red%20the%209%20years%20which%20during%20this%20period%20are%20not%20when%20we%20might%20have%20thought%20the%20opposite.,2500 is not a leap year.,,,,,,,,,,
62,TEST,How many home runs did Benjamin Ruth hit in the MLB?,,,,before 2022,N/A,TRUE,one-hop,never-changing,N/A,Benjamin Ruth is not a baseball player in the MLB.,,,,,,,,,,
63,TEST,When did Lance Armstrong land on the moon?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Lance_Armstrong#:~:text=Lance%20Edward%20Armstrong%20(n%C3%A9%20Gunderson%3B%20born%20September%2018%2C%201971)%5B4%5D%20is%20an%20American%20former%20professional%20road%20racing%20cyclist.,Lance Armstrong is not an astronaut.,,,,,,,,,,
64,TEST,On what date did the 1944 German spelling reform go into effect in schools across the country?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/German_orthography_reform_of_1944#:~:text=Although%20one%20million%20copies%20of%20the%20new%20rules%20were%20printed%20by%201944%20for%20school%20use%2C%20the%20reform%20was%20never%20introduced.,The reform was never introduced.,,,,,,,,,,
65,TEST,How many times have the New York Jets lost to the Chicago Bulls?,,,,before 2022,N/A,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/New_York_Jets#:~:text=The%20New%20York%20Jets%20are%20a%20professional%20American%20football%20team
https://en.wikipedia.org/wiki/Chicago_Bulls#:~:text=The%20Chicago%20Bulls%20are%20an%20American%20professional%20basketball%20team",The two teams have never played because the Jets are a football team and the Bulls are a basketball team.,,,,,,,,,,
66,TEST,How many members of parliament in Yugoslavia are women?,,,,before 2022,N/A,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Yugoslavia#:~:text=Jugoslavija%0A%D0%88%D1%83%D0%B3%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%98%D0%B0-,1918%E2%80%931992,-1941%E2%80%931945%3A",The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.,,,,,,,,,,
67,TEST,Alphabet's market capitalization reached its highest-ever recorded value during what month in 2022?,,,,before 2022,N/A,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization#:~:text=%E2%80%94-,18%20November%202021,-2%2C000","The all-time highest value of Alphabet was in November 2021, not in 2022.",,,,,,,,,,
68,TEST,When was the iPhone 9 released?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/IPhone#Models,Apple has never released an iPhone 9 nor does it plan to.,,,,,,,,,,
69,TEST,When did cannabis become legal in the United States?,,,,before 2022,N/A,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Legality_of_cannabis_by_U.S._jurisdiction#:~:text=In%20the%20United%20States%2C%20the%20use%20and%20possession%20of%20cannabis%20is%20illegal%20under%20federal%20law%20by%20way%20of%20the%20Controlled%20Substances%20Act%20of%201970.,"In the United States, the use and possession of cannabis is illegal under federal law by way of the Controlled Substances Act of 1970.",,,,,,,,,,
